cutoff_week,model,attribute,group_A,group_B,n_A,n_B,flag_A,flag_B,dp_gap,dp_lo,dp_hi,tpr_A,tpr_B,eo_gap,eo_lo,eo_hi,fpr_A,fpr_B,fpr_gap,fpr_lo,fpr_hi
10,logreg,disability,disabled,not_disabled,655,5864,0.5725190839694656,0.4677694406548431,0.1047496433146225,0.06523217744706994,0.1454374277516845,0.8163771712158809,0.7769002961500494,0.03947687506583153,-0.0007771274553664627,0.08091257689253026,0.18253968253968253,0.1352212389380531,0.04731844360162943,-0.001607797227027167,0.09867496907551791
10,logreg,age,age_0_35,age_55plus,4612,53,0.5,0.4339622641509434,0.06603773584905659,-0.06911134202817912,0.18814055621921483,0.7844427244582043,0.8,-0.015557275541795756,-0.17174359089512234,0.1587547351967353,0.13757396449704143,0.21212121212121213,-0.0745472476241707,-0.22131511231911405,0.05081020973718809
10,rf,imd,deprived,affluent,2066,1647,0.5527589545014521,0.42319368548876746,0.12956526901268461,0.09670638216335137,0.16357751868955905,0.8119521912350598,0.77431906614786,0.03763312508719985,0.004097059778476653,0.07296264355771218,0.15166461159062886,0.1141552511415525,0.03750936044907635,0.002839927526099538,0.0730812176951226
10,rf,disability,disabled,not_disabled,655,5864,0.5816793893129771,0.4693042291950887,0.11237516011788845,0.07158262864105473,0.15212775194484654,0.8312655086848635,0.7857847976307996,0.04548071105406393,0.004043513921002798,0.08506237824624407,0.18253968253968253,0.1288495575221239,0.053690125017558626,0.0027925012449298513,0.10337963758515377
10,rf,age,age_0_35,age_55plus,4612,53,0.5117085862966175,0.3584905660377358,0.1532180202588817,0.021115445351748523,0.26710314765419163,0.798374613003096,0.7,0.09837461300309602,-0.09381752044789902,0.29749155636738017,0.14644970414201183,0.15151515151515152,-0.0050654473731396865,-0.13466216105897919,0.10584851393676727
10,hgb,imd,deprived,affluent,2066,1647,0.5542110358180058,0.4080145719489982,0.1461964638690076,0.11294825406397625,0.18099238487531374,0.8087649402390438,0.7600518806744487,0.04871305956459504,0.013388390118273061,0.08670060727582309,0.16029593094944514,0.09817351598173515,0.06212241496770998,0.030445700072168715,0.09466868581342373
10,hgb,disability,disabled,not_disabled,655,5864,0.5648854961832062,0.45770804911323326,0.1071774470699729,0.06494770784082982,0.14413673026254128,0.8114143920595533,0.7745969068772622,0.03681748518229111,-0.006810460373572025,0.07775044408831087,0.17063492063492064,0.1168141592920354,0.05382076134288524,0.0031066417014626907,0.10366242398290933
10,hgb,age,age_0_35,age_55plus,4612,53,0.4958803122289679,0.3584905660377358,0.13738974619123206,0.005086607537351271,0.25039130897249173,0.7836687306501547,0.7,0.08366873065015479,-0.11039455318010441,0.27957826838208144,0.1291913214990138,0.15151515151515152,-0.02232383001613772,-0.15705492477620261,0.08773426859643825
15,logreg,imd,deprived,affluent,2066,1647,0.5605033881897387,0.3989071038251366,0.16159628436460205,0.12970045569667868,0.19284650110412252,0.8326693227091634,0.754863813229572,0.07780550947959142,0.04258746505545886,0.11489794206996301,0.13933415536374846,0.08561643835616438,0.053717717007584084,0.025011709437921043,0.08440031564587609
15,logreg,disability,disabled,not_disabled,655,5864,0.5709923664122137,0.4542974079126876,0.11669495849952616,0.07561463139039605,0.1557839853472605,0.8312655086848635,0.7847976307996052,0.0464678778852583,0.005346570227585343,0.08676844195946516,0.15476190476190477,0.09876106194690265,0.056000842815002116,0.010855566644120629,0.10866465673456256
